Type,Name,Status,Date,Site
Hiring Challenge,Türkiye Sigorta Hiring Challenge #3,True,8 Haziran,Coderspace
Hackathon-Datathon,Bursa Akıllı Şehir Deprem Hackathonu,True,11 Haziran,Coderspace
Meet-up,Product Management Camp,True,13 Haziran,Coderspace
Bootcamp,Akbank & Microsoft AI Academy Data Analyst Eğitimi,False,15 Mart,Coderspace
Hackathon-Datathon,Shell Datathon 2023,False,16 Mayıs,Coderspace
Yetenek Programı,Softtech Yetenek Kuşağı,False,28 Mayıs,Coderspace
